id,company_code,department_code,name,cost_center,branch,area,remarks,active,created_at,updated_at
1,DII,HPC,DII - Production Control,60010,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
2,DII,HPI,DII - Product Integrity,60020,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
3,DII,HPP,DII - PPIC,60030,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
4,DII,HQC,DII - Warehouse - Quality Control,60040,Head Office,HO,Edited due to transfer of QC Production to Warehouse,1,12/21/2023 2:25,03/25/2025 2:11
5,DII,HQA,DII - Quality Assurance Fixing,60050,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
6,DII,HPG,DII - Production - PGMS,60060,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
7,DII,HCU,DII - Production Cutting,60070,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
8,DII,HEM,DII - Production - Embroidery,60080,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
9,DII,HPR,DII - Printing,60090,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
10,DII,HFN,DII - Production - Finishing,60100,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
11,DII,HSE,DII - Services,60110,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
12,CCI,HEO,Executive Office,80010,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
13,DII,GYM,DII Gym,80020,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
14,DII,HLO,Legal Office,80030,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
15,CCI,HHR,HRD,80040,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
16,CCI,HAU,Audit,80050,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
17,CCI,HIT,IT,80070,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
18,CCI,HAC,Accounting,80080,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
19,CCI,HTR,Treasury,80090,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
20,DII,HPU,Purchasing-Local,80100,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
21,DII,HIM,Import,80110,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
22,CCI,HWA,Warehouse,80170,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
23,DII,HFA,Warehouse - Fabric,80130,Head Office,HO,N/A,1,12/21/2023 2:25,12/21/2023 2:25
